#  temps,  intensity
0.25325,-0.03576
0.25425,-0.03500
0.25526,-0.03223
0.25626,-0.02759
0.25726,-0.02132
0.25826,-0.01376
0.25926,-0.00535
0.26026,0.00346
0.26126,0.01216
0.26226,0.02025
0.26326,0.02726
0.26426,0.03278
0.26527,0.03648
0.26627,0.03813
0.26727,0.03762
0.26827,0.03495
0.26927,0.03026
0.27027,0.02379
0.27127,0.01590
0.27227,0.00703
0.27327,-0.00232
0.27427,-0.01163
0.27528,-0.02036
0.27628,-0.02800
0.27728,-0.03411
0.27828,-0.03833
0.27928,-0.04039
0.28028,-0.04016
0.28128,-0.03764
0.28228,-0.03294
0.28328,-0.02632
0.28428,-0.01814
0.28529,-0.00885
0.28629,0.00102
0.28729,0.01091
0.28829,0.02027
0.28929,0.02855
0.29029,0.03526
0.29129,0.04001
0.29229,0.04252
0.29329,0.04262
0.29429,0.04028
0.29530,0.03563
0.29630,0.02890
0.29730,0.02047
0.29830,0.01081
0.29930,0.00045
0.30030,-0.01001
0.30130,-0.01998
0.30230,-0.02889
0.30330,-0.03621
0.30430,-0.04152
0.30531,-0.04450
0.30631,-0.04496
0.30731,-0.04285
0.30831,-0.03829
0.30931,-0.03150
0.31031,-0.02287
0.31131,-0.01287
0.31231,-0.00207
0.31331,0.00893
0.31431,0.01950
0.31532,0.02902
0.31632,0.03696
0.31732,0.04284
0.31832,0.04631
0.31932,0.04717
0.32032,0.04533
0.32132,0.04090
0.32232,0.03411
0.32332,0.02532
0.32432,0.01503
0.32533,0.00382
0.32633,-0.00768
0.32733,-0.01882
0.32833,-0.02895
0.32933,-0.03749
0.33033,-0.04395
0.33133,-0.04794
0.33233,-0.04922
0.33333,-0.04770
0.33433,-0.04345
0.33534,-0.03669
0.33634,-0.02780
0.33734,-0.01728
0.33834,-0.00570
0.33934,0.00627
0.34034,0.01794
0.34134,0.02867
0.34234,0.03781
0.34334,0.04486
0.34434,0.04938
0.34535,0.05111
0.34635,0.04994
0.34735,0.04591
0.34835,0.03924
0.34935,0.03030
0.35035,0.01958
0.35135,0.00769
0.35235,-0.00470
0.35335,-0.01689
0.35435,-0.02818
0.35536,-0.03791
0.35636,-0.04554
0.35736,-0.05061
0.35836,-0.05281
0.35936,-0.05202
0.36036,-0.04826
0.36136,-0.04173
0.36236,-0.03278
0.36336,-0.02193
0.36436,-0.00977
0.36537,0.00300
0.36637,0.01566
0.36737,0.02748
0.36837,0.03780
0.36937,0.04600
0.37037,0.05162
0.37137,0.05432
0.37237,0.05394
0.37337,0.05048
0.37437,0.04413
0.37538,0.03524
0.37638,0.02430
0.37738,0.01193
0.37838,-0.00117
0.37938,-0.01426
0.38038,-0.02659
0.38138,-0.03746
0.38238,-0.04623
0.38338,-0.05241
0.38438,-0.05562
0.38539,-0.05568
0.38639,-0.05256
0.38739,-0.04644
0.38839,-0.03764
0.38939,-0.02667
0.39039,-0.01414
0.39139,-0.00076
0.39239,0.01272
0.39339,0.02552
0.39439,0.03691
0.39540,0.04624
0.39640,0.05297
0.39740,0.05670
0.39840,0.05722
0.39940,0.05448
0.40040,0.04862
0.40140,0.03998
0.40240,0.02903
0.40340,0.01639
0.40440,0.00278
0.40541,-0.01103
0.40641,-0.02426
0.40741,-0.03615
0.40841,-0.04602
0.40941,-0.05329
0.41041,-0.05755
0.41141,-0.05855
0.41241,-0.05622
0.41341,-0.05067
0.41441,-0.04223
0.41542,-0.03135
0.41642,-0.01866
0.41742,-0.00488
0.41842,0.00923
0.41942,0.02284
0.42042,0.03519
0.42142,0.04557
0.42242,0.05338
0.42342,0.05817
0.42442,0.05967
0.42543,0.05776
0.42643,0.05257
0.42743,0.04436
0.42843,0.03362
0.42943,0.02093
0.43043,0.00702
0.43143,-0.00731
0.43243,-0.02127
0.43343,-0.03404
0.43443,-0.04491
0.43544,-0.05324
0.43644,-0.05856
0.43744,-0.06055
0.43844,-0.05910
0.43944,-0.05429
0.44044,-0.04637
0.44144,-0.03581
0.44244,-0.02318
0.44344,-0.00921
0.44444,0.00531
0.44545,0.01956
0.44645,0.03271
0.44745,0.04403
0.44845,0.05286
0.44945,0.05870
0.45045,0.06120
0.45145,0.06023
0.45245,0.05583
0.45345,0.04824
0.45445,0.03790
0.45546,0.02538
0.45646,0.01140
0.45746,-0.00324
0.45846,-0.01773
0.45946,-0.03122
0.46046,-0.04295
0.46146,-0.05226
0.46246,-0.05860
0.46346,-0.06162
0.46446,-0.06113
0.46547,-0.05716
0.46647,-0.04994
0.46747,-0.03987
0.46847,-0.02752
0.46947,-0.01359
0.47047,0.00112
0.47147,0.01579
0.47247,0.02957
0.47347,0.04168
0.47447,0.05143
0.47548,0.05826
0.47648,0.06179
0.47748,0.06180
0.47848,0.05829
0.47948,0.05147
0.48048,0.04172
0.48148,0.02958
0.48248,0.01576
0.48348,0.00103
0.48448,-0.01376
0.48549,-0.02778
0.48649,-0.04023
0.48749,-0.05039
0.48849,-0.05769
0.48949,-0.06171
0.49049,-0.06223
0.49149,-0.05920
0.49249,-0.05281
0.49349,-0.04341
0.49449,-0.03154
0.49550,-0.01788
0.49650,-0.00319
0.49750,0.01167
0.49850,0.02588
0.49950,0.03861
0.50050,0.04915
0.50150,0.05689
0.50250,0.06140
0.50350,0.06241
0.50450,0.05988
0.50551,0.05394
0.50651,0.04494
0.50751,0.03338
0.50851,0.01993
0.50951,0.00535
0.51051,-0.00954
0.51151,-0.02387
0.51251,-0.03684
0.51351,-0.04771
0.51451,-0.05587
0.51552,-0.06084
0.51652,-0.06236
0.51752,-0.06032
0.51852,-0.05486
0.51952,-0.04629
0.52052,-0.03508
0.52152,-0.02189
0.52252,-0.00747
0.52352,0.00737
0.52452,0.02178
0.52553,0.03494
0.52653,0.04610
0.52753,0.05463
0.52853,0.06005
0.52953,0.06205
0.53053,0.06053
0.53153,0.05556
0.53253,0.04744
0.53353,0.03663
0.53453,0.02376
0.53554,0.00954
0.53654,-0.00520
0.53754,-0.01962
0.53854,-0.03292
0.53954,-0.04432
0.54054,-0.05320
0.54154,-0.05904
0.54254,-0.06151
0.54354,-0.06049
0.54454,-0.05603
0.54555,-0.04840
0.54655,-0.03802
0.54755,-0.02550
0.54855,-0.01155
0.54955,0.00303
0.55055,0.01742
0.55155,0.03080
0.55255,0.04240
0.55355,0.05157
0.55455,0.05780
0.55556,0.06073
0.55656,0.06021
0.55756,0.05627
0.55856,0.04914
0.55956,0.03922
0.56056,0.02711
0.56156,0.01347
0.56256,-0.00090
0.56356,-0.01520
0.56456,-0.02860
0.56557,-0.04035
0.56657,-0.04978
0.56757,-0.05636
0.56857,-0.05973
0.56957,-0.05969
0.57057,-0.05627
0.57157,-0.04966
0.57257,-0.04024
0.57357,-0.02856
0.57457,-0.01528
0.57558,-0.00117
0.57658,0.01297
0.57758,0.02634
0.57858,0.03818
0.57958,0.04782
0.58058,0.05472
0.58158,0.05849
0.58258,0.05894
0.58358,0.05603
0.58458,0.04995
0.58559,0.04105
0.58659,0.02984
0.58759,0.01697
0.58859,0.00318
0.58959,-0.01076
0.59059,-0.02404
0.59159,-0.03592
0.59259,-0.04572
0.59359,-0.05290
0.59459,-0.05705
0.59560,-0.05795
0.59660,-0.05555
0.59760,-0.05001
0.59860,-0.04165
0.59960,-0.03095
0.60060,-0.01853
0.60160,-0.00510
0.60260,0.00858
0.60360,0.02172
0.60460,0.03358
0.60561,0.04350
0.60661,0.05091
0.60761,0.05540
0.60861,0.05674
0.60961,0.05484
0.61061,0.04984
0.61161,0.04203
0.61261,0.03187
0.61361,0.01993
0.61461,0.00691
0.61562,-0.00646
0.61662,-0.01940
0.61762,-0.03120
0.61862,-0.04117
0.61962,-0.04877
0.62062,-0.05357
0.62162,-0.05531
0.62262,-0.05390
0.62362,-0.04944
0.62462,-0.04220
0.62563,-0.03259
0.62663,-0.02117
0.62763,-0.00860
0.62863,0.00441
0.62963,0.01711
0.63063,0.02877
0.63163,0.03876
0.63263,0.04650
0.63363,0.05156
0.63463,0.05368
0.63564,0.05274
0.63664,0.04882
0.63764,0.04214
0.63864,0.03310
0.63964,0.02223
0.64064,0.01015
0.64164,-0.00245
0.64264,-0.01485
0.64364,-0.02634
0.64464,-0.03628
0.64565,-0.04411
0.64665,-0.04940
0.64765,-0.05186
0.64865,-0.05137
0.64965,-0.04796
0.65065,-0.04185
0.65165,-0.03340
0.65265,-0.02310
0.65365,-0.01155
0.65465,0.00060
0.65566,0.01265
0.65666,0.02391
0.65766,0.03376
0.65866,0.04163
0.65966,0.04710
0.66066,0.04987
0.66166,0.04979
0.66266,0.04689
0.66366,0.04135
0.66466,0.03349
0.66567,0.02378
0.66667,0.01278
0.66767,0.00112
0.66867,-0.01053
0.66967,-0.02151
0.67067,-0.03121
0.67167,-0.03908
0.67267,-0.04468
0.67367,-0.04771
0.67467,-0.04802
0.67568,-0.04561
0.67668,-0.04062
0.67768,-0.03336
0.67868,-0.02426
0.67968,-0.01384
0.68068,-0.00271
0.68168,0.00850
0.68268,0.01916
0.68368,0.02866
0.68468,0.03647
0.68569,0.04216
0.68669,0.04542
0.68769,0.04608
0.68869,0.04413
0.68969,0.03969
0.69069,0.03303
0.69169,0.02454
0.69269,0.01473
0.69369,0.00415
0.69469,-0.00659
0.69570,-0.01687
0.69670,-0.02613
0.69770,-0.03383
0.69870,-0.03956
0.69970,-0.04300
0.70070,-0.04398
0.70170,-0.04246
0.70270,-0.03855
0.70370,-0.03248
0.70470,-0.02461
0.70571,-0.01542
0.70671,-0.00542
0.70771,0.00480
0.70871,0.01467
0.70971,0.02363
0.71071,0.03118
0.71171,0.03690
0.71271,0.04048
0.71371,0.04174
0.71471,0.04062
0.71572,0.03721
0.71672,0.03172
0.71772,0.02449
0.71872,0.01592
0.71972,0.00653
0.72072,-0.00315
0.72172,-0.01257
0.72272,-0.02119
0.72372,-0.02853
0.72472,-0.03420
0.72573,-0.03787
0.72673,-0.03937
0.72773,-0.03862
0.72873,-0.03570
0.72973,-0.03078
0.73073,-0.02416
0.73173,-0.01623
0.73273,-0.00746
0.73373,0.00165
0.73473,0.01058
0.73574,0.01882
0.73674,0.02592
0.73774,0.03148
0.73874,0.03521
0.73974,0.03690
0.74074,0.03649
0.74174,0.03402
0.74274,0.02964
0.74374,0.02363
0.74474,0.01635
0.74575,0.00821
0.74675,-0.00031
0.74775,-0.00872
0.74875,-0.01655
0.74975,-0.02336
0.75075,-0.02878
0.75175,-0.03251
0.75275,-0.03436
0.75375,-0.03424
0.75475,-0.03219
0.75576,-0.02833
0.75676,-0.02292
0.75776,-0.01627
0.75876,-0.00877
0.75976,-0.00086
0.76076,0.00700
0.76176,0.01439
0.76276,0.02087
0.76376,0.02610
0.76476,0.02979
0.76577,0.03175
0.76677,0.03189
0.76777,0.03022
0.76877,0.02687
0.76977,0.02203
0.77077,0.01601
0.77177,0.00915
0.77277,0.00187
0.77377,-0.00544
0.77477,-0.01235
0.77578,-0.01847
0.77678,-0.02347
0.77778,-0.02707
0.77878,-0.02911
0.77978,-0.02946
0.78078,-0.02815
0.78178,-0.02526
0.78278,-0.02098
0.78378,-0.01557
0.78478,-0.00936
0.78579,-0.00269
0.78679,0.00403
0.78779,0.01044
0.78879,0.01617
0.78979,0.02090
0.79079,0.02439
0.79179,0.02645
0.79279,0.02698
0.79379,0.02599
0.79479,0.02353
0.79580,0.01978
0.79680,0.01497
0.79780,0.00938
0.79880,0.00334
0.79980,-0.00280
0.80080,-0.00868
0.80180,-0.01399
0.80280,-0.01843
0.80380,-0.02176
0.80480,-0.02381
0.80581,-0.02448
0.80681,-0.02375
0.80781,-0.02170
0.80881,-0.01845
0.80981,-0.01421
0.81081,-0.00923
0.81181,-0.00382
0.81281,0.00173
0.81381,0.00708
0.81481,0.01195
0.81582,0.01607
0.81682,0.01920
0.81782,0.02120
0.81882,0.02197
0.81982,0.02148
0.82082,0.01979
0.82182,0.01701
0.82282,0.01331
0.82382,0.00893
0.82482,0.00413
0.82583,-0.00083
0.82683,-0.00565
0.82783,-0.01006
0.82883,-0.01382
0.82983,-0.01674
0.83083,-0.01865
0.83183,-0.01948
0.83283,-0.01919
0.83383,-0.01782
0.83483,-0.01547
0.83584,-0.01229
0.83684,-0.00848
0.83784,-0.00427
0.83884,0.00010
0.83984,0.00438
0.84084,0.00833
0.84184,0.01172
0.84284,0.01439
0.84384,0.01619
0.84484,0.01703
0.84585,0.01690
0.84685,0.01582
0.84785,0.01387
0.84885,0.01117
0.84985,0.00791
0.85085,0.00427
0.85185,0.00046
0.85285,-0.00328
0.85385,-0.00676
0.85485,-0.00977
0.85586,-0.01217
0.85686,-0.01383
0.85786,-0.01466
0.85886,-0.01466
0.85986,-0.01382
0.86086,-0.01222
0.86186,-0.00998
0.86286,-0.00722
0.86386,-0.00412
0.86486,-0.00087
0.86587,0.00235
0.86687,0.00536
0.86787,0.00799
0.86887,0.01011
0.86987,0.01160
0.87087,0.01239
0.87187,0.01247
0.87287,0.01184
0.87387,0.01056
0.87487,0.00872
0.87588,0.00644
0.87688,0.00386
0.87788,0.00113
0.87888,-0.00159
0.87988,-0.00414
0.88088,-0.00639
0.88188,-0.00821
0.88288,-0.00951
0.88388,-0.01024
0.88488,-0.01038
0.88589,-0.00992
0.88689,-0.00892
0.88789,-0.00744
0.88889,-0.00560
0.88989,-0.00349
0.89089,-0.00125
0.89189,0.00098
0.89289,0.00309
0.89389,0.00496
0.89489,0.00649
0.89590,0.00760
0.89690,0.00824
0.89790,0.00840
0.89890,0.00808
0.89990,0.00732
0.90090,0.00617
0.90190,0.00471
0.90290,0.00304
0.90390,0.00126
0.90490,-0.00053
0.90591,-0.00222
0.90691,-0.00372
0.90791,-0.00496
0.90891,-0.00587
0.90991,-0.00641
0.91091,-0.00657
0.91191,-0.00636
0.91291,-0.00579
0.91391,-0.00492
0.91491,-0.00381
0.91592,-0.00253
0.91692,-0.00116
0.91792,0.00021
0.91892,0.00151
0.91992,0.00267
0.92092,0.00363
0.92192,0.00434
0.92292,0.00477
0.92392,0.00492
0.92492,0.00478
0.92593,0.00437
0.92693,0.00374
0.92793,0.00293
0.92893,0.00200
0.92993,0.00100
0.93093,-0.00001
0.93193,-0.00096
0.93293,-0.00181
0.93393,-0.00251
0.93493,-0.00303
0.93594,-0.00335
0.93694,-0.00346
0.93794,-0.00337
0.93894,-0.00309
0.93994,-0.00266
0.94094,-0.00210
0.94194,-0.00146
0.94294,-0.00078
0.94394,-0.00009
0.94494,0.00056
0.94595,0.00113
0.94695,0.00160
0.94795,0.00194
0.94895,0.00215
0.94995,0.00223
0.95095,0.00217
0.95195,0.00199
0.95295,0.00172
0.95395,0.00136
0.95495,0.00096
0.95596,0.00053
0.95696,0.00011
0.95796,-0.00028
0.95896,-0.00062
0.95996,-0.00089
0.96096,-0.00109
0.96196,-0.00121
0.96296,-0.00125
0.96396,-0.00121
0.96496,-0.00110
0.96597,-0.00094
0.96697,-0.00074
0.96797,-0.00053
0.96897,-0.00030
0.96997,-0.00009
0.97097,0.00011
0.97197,0.00027
0.97297,0.00040
0.97397,0.00048
0.97497,0.00053
0.97598,0.00053
0.97698,0.00051
0.97798,0.00045
0.97898,0.00038
0.97998,0.00029
0.98098,0.00020
0.98198,0.00011
0.98298,0.00004
0.98398,-0.00003
0.98498,-0.00007
0.98599,-0.00010
0.98699,-0.00012
0.98799,-0.00012
0.98899,-0.00011
0.98999,-0.00010
0.99099,-0.00008
0.99199,-0.00006
0.99299,-0.00004
0.99399,-0.00002
0.99499,-0.00001
0.99600,-0.00000
0.99700,0.00000
0.99800,0.00000
0.99900,0.00000
1.00000,0.00000
